Fermenter pH,Backset Added,Post-backset pH,Conversion pH
3.64,600,5.03,5.05
3.70,650,4.96,4.96
3.64,650,4.89,5.02
3.57,600,4.97,5.04
3.63,600,4.77,4.94
3.58,550,4.89,5.04
3.57,550,4.93,5.10
3.57,550,4.97,5.09
3.53,550,5.05,5.19
3.53,550,5.22,5.25
3.52,550,4.99,5.08
3.51,550,4.87,5.02
3.63,600,4.81,5.08
3.63,600,4.99,5.07
3.74,650,5.04,5.13
3.66,600,5.10,5.11
3.70,650,5.08,5.10
3.67,600,5.02,5.11
3.60,550,4.97,5.10
3.57,550,4.93,4.99
3.57,500,4.94,5.01
3.54,450,5.12,5.12
3.69,550,5.11,4.90
3.62,600,4.80,4.98
3.68,500,5.03,5.10
3.70,500,5.06,5.24
3.78,500,4.94,5.24
3.61,500,5.09,5.17
3.56,500,5.14,5.14
3.60,500,5.13,5.17
3.60,500,5.25,5.05
3.64,600,5.00,5.14
3.64,600,4.95,5.11
3.49,500,4.94,5.31
3.56,550,4.98,5.16
3.59,550,5.06,5.26
3.58,550,5.15,5.14
3.58,600,5.17,5.06
3.58,650,5.03,5.16
3.59,650,4.99,5.04
3.65,600,5.02,5.13
3.68,650,4.89,5.09
3.75,650,5.00,5.02
3.75,650,5.06,5.10
3.64,600,5.04,5.20
3.66,650,4.86,4.91
3.65,600,4.95,5.01
3.53,500,4.94,5.04
3.56,500,5.04,5.09
3.68,550,4.87,5.00
3.63,550,4.92,4.98
3.56,500,5.00,5.13
3.69,550,5.02,5.15
3.69,550,5.06,5.14
3.57,500,4.98,5.19
3.64,550,5.14,5.31
3.66,600,5.09,5.15
3.59,500,5.17,5.27
3.58,550,5.09,5.10
3.63,600,4.87,4.94
3.62,600,4.95,4.96
3.61,600,4.86,5.09
3.68,600,5.04,5.18
3.68,600,5.16,5.27
3.63,650,4.91,5.04
3.63,650,4.87,5.04
3.54,550,5.02,5.13
3.82,800,4.82,5.04
3.86,800,4.87,5.05
3.92,850,4.91,5.07
3.86,800,4.77,5.04
3.87,750,4.92,5.00
3.71,650,4.93,4.99
3.67,650,4.95,5.02
3.67,700,4.95,5.02
3.65,650,4.85,5.02
3.59,550,4.71,5.02
3.81,750,4.94,5.14
3.81,750,5.08,5.20
3.72,600,5.18,5.21
3.72,700,4.98,5.05
3.74,700,4.98,5.00
3.72,750,4.85,5.04
3.58,550,5.04,5.18
3.72,750,4.83,4.88
3.72,750,4.84,4.92
3.74,700,4.95,5.10
3.74,700,4.76,5.08
3.65,600,4.97,5.12
3.50,450,5.12,5.19
3.55,550,4.92,5.08
3.62,600,4.80,5.04
3.60,550,5.02,5.14
3.50,500,4.80,4.99
3.59,550,4.81,4.99
3.64,600,4.82,4.91
3.65,500,5.00,5.22
3.65,500,5.14,5.13
3.68,550,4.99,5.01
3.68,600,4.96,5.08
3.68,750,4.63,5.00
3.73,700,4.85,5.40
3.68,650,4.83,5.10
3.66,650,4.97,5.09
3.58,650,4.84,4.94
3.58,650,4.87,4.83
3.90,750,4.96,5.27
3.90,800,5.06,5.06
3.91,750,5.13,5.06
3.91,750,4.87,5.15
3.70,650,5.01,5.13
3.70,650,5.04,5.00
3.82,750,5.10,5.11
3.66,700,4.90,5.05
3.62,700,4.78,5.04
3.63,700,4.84,5.04
3.67,700,4.88,5.05
3.69,700,4.98,5.04
3.63,700,5.11,5.18
3.58,700,4.77,5.00
3.58,650,4.93,4.98
3.64,650,4.99,5.02
3.97,800,5.08,5.21
3.93,800,5.23,5.10
3.96,850,5.13,5.23
3.90,800,5.21,5.21
3.58,650,4.97,5.16
3.58,550,4.92,5.16
3.65,650,4.69,4.87
3.60,650,4.89,4.97
3.63,650,4.84,5.11
3.61,650,4.76,5.04
3.66,650,4.91,5.12
3.67,650,5.01,5.15
3.73,700,5.03,5.05
3.87,800,5.02,5.12
3.87,800,4.99,5.08
3.75,800,4.96,5.04
3.79,800,4.81,5.07
3.80,800,5.09,5.24
3.80,800,5.08,5.13
3.86,850,5.20,5.27
3.92,900,5.10,5.22
3.62,850,4.82,4.88
3.62,850,4.69,4.84
3.57,750,4.68,4.79
3.57,700,4.70,4.96
3.87,900,4.95,5.05
3.79,850,4.85,5.13
3.81,900,4.76,5.01
3.93,900,4.80,4.96
3.81,850,4.84,5.06
3.96,900,5.07,5.24
3.79,850,4.88,5.21
3.80,850,4.88,5.21
3.80,850,5.07,5.16
3.83,900,4.60,4.90
3.64,800,4.78,5.00
3.78,800,5.04,5.13
3.78,800,5.09,5.13
3.76,800,5.04,5.14
3.76,800,4.91,5.10
3.71,800,4.74,5.02
3.79,850,4.93,5.02
3.96,900,5.07,5.05
3.96,900,5.03,5.19
3.73,850,4.78,5.04
3.73,800,4.87,5.02
3.71,800,5.08,5.16
4.03,900,5.08,5.15
3.94,900,5.05,5.37
3.92,900,5.10,5.18
3.99,900,5.21,5.36
4.01,900,5.20,5.19
3.84,900,5.09,5.37
4.02,900,5.28,4.74
3.58,650,4.78,5.10
3.76,750,4.84,5.04
3.74,700,4.95,5.25
3.76,700,5.06,5.16
3.68,700,4.97,5.14
3.72,700,4.86,4.84
3.75,700,4.78,4.88
3.51,650,4.84,5.12
3.69,700,4.94,5.17
3.71,700,5.03,5.33
3.97,900,5.17,5.21
3.95,900,5.00,5.29
3.90,900,5.04,5.30
3.92,950,4.92,5.05
3.92,950,5.19,5.24
3.94,"1,000",5.07,5.19
3.92,"1,000",5.05,5.29
3.89,950,5.03,5.17
3.95,950,5.07,5.14
3.74,700,4.88,4.97
3.86,750,5.04,5.18
3.85,750,5.05,5.17
3.86,750,5.01,5.27
3.86,750,4.97,5.15
3.87,750,5.06,5.17
3.87,750,5.06,5.17
3.79,750,4.84,5.13
4.02,950,4.94,5.28
3.99,950,5.18,5.27
3.99,950,5.19,5.34
3.89,750,5.19,5.34
3.89,800,4.92,5.12
3.95,800,4.96,5.31
4.01,950,4.98,5.24
3.95,950,5.09,5.23
3.87,900,4.94,5.23
3.98,950,5.08,5.26
3.89,800,5.25,5.35
3.92,900,5.09,5.27
3.87,900,4.98,5.04
3.87,900,4.96,5.07
3.91,950,5.04,5.17
3.91,950,4.95,5.21
3.83,900,5.12,5.22
3.92,950,5.04,5.17
3.70,700,5.12,5.25
3.90,950,4.84,5.06
3.93,950,4.94,5.13
3.91,950,4.97,5.08
3.96,950,5.10,5.18
4.03,950,5.07,5.26
3.83,900,5.05,5.18
3.94,950,4.97,5.20
3.95,950,5.18,5.19
3.91,500,5.15,5.25
3.91,950,4.98,5.08
3.92,950,4.93,5.16
3.94,950,4.94,5.15
3.97,950,4.99,5.15
3.91,950,5.11,5.19
3.93,950,5.10,5.18
3.95,500,5.13,5.34
3.97,950,4.93,5.21
3.97,950,5.09,5.16
3.89,900,5.13,5.23
3.89,950,5.12,5.18
3.90,950,5.05,5.19
3.96,950,5.18,5.28
3.88,950,5.11,5.16
3.95,950,4.91,5.21
3.70,750,4.97,5.05
3.72,750,4.93,5.00
3.68,750,4.93,5.02
3.68,750,4.97,5.03
3.72,700,4.94,5.00
3.57,600,4.90,5.01
3.57,600,4.75,4.96
3.61,600,4.87,5.17
3.66,600,5.03,5.17
3.74,750,4.88,5.05
3.68,700,4.94,5.06
4.01,950,4.88,5.03
4.00,950,5.14,5.21
3.91,950,5.11,5.19
3.70,750,5.07,5.30
3.70,750,5.04,5.05
3.78,800,4.74,5.00
3.78,750,4.98,5.09
3.72,750,4.86,4.99
3.73,750,4.90,5.02
3.69,700,4.82,5.10
3.76,700,4.76,5.05
3.76,700,4.98,5.09
3.66,650,4.98,5.07
3.69,700,4.87,5.05
3.64,650,4.77,5.17
4.06,950,5.05,5.05
3.91,950,5.02,5.19
3.83,800,5.11,5.19
3.78,750,5.06,5.21
3.80,800,5.00,5.13
3.84,850,4.98,5.12
3.84,900,5.00,5.10
3.89,900,5.12,5.19
3.59,700,4.86,5.04
3.59,700,4.81,5.00
3.65,650,4.99,5.07
3.65,650,4.97,5.03
3.58,650,5.00,4.91
3.68,700,5.00,5.09
3.64,700,4.93,5.03
3.63,700,4.72,4.90
3.63,700,4.72,5.30
3.99,800,5.08,5.20
4.00,800,5.18,5.20
3.86,900,4.86,4.95
3.78,750,5.00,5.07
3.74,750,5.00,4.99
3.69,750,4.91,5.00
3.93,850,4.88,5.18
3.87,850,4.93,5.20
3.86,850,4.97,5.22
3.86,900,4.94,5.11
3.86,900,4.99,5.07
3.74,800,5.04,5.26
3.80,850,4.76,5.15
3.89,900,4.83,5.15
3.97,900,4.89,5.22
3.97,900,4.96,5.01
3.92,900,4.92,5.23
3.92,950,5.01,5.09
3.86,900,4.97,5.12
3.88,900,4.86,4.91
3.71,850,4.77,4.95
3.65,700,5.00,5.16
3.64,750,4.96,5.04
3.71,750,4.78,5.12
3.83,800,4.86,5.09
3.83,800,4.94,5.20
3.79,800,4.91,5.20
3.82,800,5.23,5.23
3.79,800,4.86,5.15
3.79,800,5.04,4.93
3.72,750,4.85,5.14
3.78,750,5.05,5.13
3.66,750,4.88,5.01
3.61,700,5.05,5.09
3.73,750,4.92,5.05
3.64,700,4.88,5.06
3.67,750,4.98,5.15
3.67,700,5.00,5.08
3.78,750,4.92,4.99
3.78,700,4.90,4.99
3.69,700,4.85,5.22
4.01,900,5.02,5.16
4.01,900,5.06,5.20
4.05,900,5.16,5.24
4.11,950,5.03,5.14
3.78,850,5.03,5.04
3.68,800,4.98,5.04
3.78,850,4.83,5.12
3.77,850,4.96,5.13
3.77,850,4.98,5.02
3.62,750,5.29,5.31
3.69,650,5.06,5.20
3.75,700,4.96,5.07
3.98,957,5.10,5.10
3.98,950,5.10,5.05
3.74,650,5.26,5.40
3.74,800,5.02,5.30
3.77,850,5.21,5.10
3.75,900,5.08,5.14
3.54,550,5.17,5.22
3.84,950,4.85,5.05
3.84,950,4.98,5.17
3.85,950,4.96,5.09
3.59,600,5.20,5.19
3.85,700,4.97,5.12
3.87,700,5.27,5.17
3.71,700,5.13,5.10
3.71,750,5.04,5.15
3.71,750,5.09,5.23
3.73,800,4.98,5.11
3.59,600,5.06,5.20
3.56,650,4.97,5.12
3.62,600,5.11,5.14
3.74,650,4.90,5.06
3.74,650,5.05,5.13
3.56,550,4.92,5.13
3.62,550,5.06,5.06
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
